cid,accno,co_name,current_status,reminder
1,310A/001,A & N Muar Precision Enginering Sdn Bhd,hold,yes
3,310A/003,AC Engineering Works Sdn Bhd,hold,yes
6,310A/006,Accupromicron Sdn Bhd,hold,yes
11,310A/011,Active Speed Engineering Works,hold,yes
12,310A/012,Actvantec Precision Sdn Bhd,hold,
17,310A/017,AG One Solution,hold,
24,310A/024,Alloystahl (M) Sdn Bhd,hold,
33,310A/033,AS Metal Component (M) Sdn Bhd,hold,
